Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7816400033503643,0.9256740914419695,0.44635387224420575,0.6022883295194508
Decision Tree,0.8058463857944551,0.7814631536712585,0.660599208592425,0.7159661806151207
Random Forest,0.8077309657425245,0.7802371541501977,0.6695308083663086,0.720657134164892
